date,asset_id,sector,open,high,low,close,volume,bid,ask,spread_bps,realized_vol_5d,realized_vol_20d,return_1d,return_5d,return_20d,price_strength_20,price_strength_60,volume_zscore,volume_trend,market_return,sector_return,market_volatility,sector_dispersion,macro_factor_1,macro_factor_2,macro_factor_3,sentiment_score,liquidity_score,flow_index,carry_score,event_intensity,event_flag,intraday_range
2021-01-01,A01,Technology,54.17711338,54.31507571,53.75767431,53.89456853,542031,53.88882311,53.90031395,2.132096267,0.005810110288,0.00832560748,-0.005736613942,-0.02204374463,-0.05108977675,-0.03043926626,-0.05533586907,-1.278032325,-0.406895411,0.002229546925,-0.001211412867,0.006548541048,0.006946374088,-0.5877297933,-0.4112366469,0.6123202523,-0.1428428341,0.9247000582,0.4013084451,0.3561242355,0.7575430282,0,0.01034244112
2021-01-01,A02,Technology,42.92461886,43.07581087,42.66777203,42.81805935,1387298,42.80595922,42.83015948,5.651881401,0.01655639549,0.01776830919,-0.00542207731,0.0242150356,0.07314977798,0.06233756777,0.1739053553,0.2859701046,-0.2250936634,0.002229546925,-0.001211412867,0.006548541048,0.006946374088,-0.5877297933,-0.4112366469,0.6123202523,-0.02814214979,0.7202275764,0.4868873281,1.207599629,0.1336864332,0,0.009529596779
2021-01-01,A03,Technology,122.1422929,123.0129119,122.1311729,123.0017127,516652,122.9375478,123.0658776,10.43317067,0.007442577146,0.01322215658,0.01079339225,0.002742646314,0.05997932536,0.04442357258,0.196771161,-0.3706764113,-0.2081156906,0.002229546925,-0.001211412867,0.006548541048,0.006946374088,-0.5877297933,-0.4112366469,0.6123202523,-0.03617406211,0.4063492061,-0.5114091408,0.05484442667,0.02637120299,0,0.007168509993
2021-01-01,A04,Technology,53.81652714,54.0106271,53.41049775,53.60313328,142008,53.54479973,53.66146683,21.76497879,0.01235823565,0.0142071464,-0.004480352469,-0.0137938176,0.05062515701,0.01603227454,0.06881688093,-0.5968615953,-0.2300146572,0.002229546925,-0.001211412867,0.006548541048,0.006946374088,-0.5877297933,-0.4112366469,0.6123202523,0.1542921791,0.1780022251,1.361433528,-0.1585602315,0.2776369729,0,0.01119578862
2021-01-01,A05,Financials,33.76507116,34.09697385,33.63029033,33.96086816,1067916,33.95712537,33.96461096,2.20418387,0.01200859007,0.01585048529,0.01143158674,-0.01315381851,0.06124108675,0.01296025496,0.03916189529,-0.8933346385,-0.0206962031,0.002229546925,0.004107354713,0.006548541048,0.02027478012,-0.5877297933,-0.4112366469,0.6123202523,-0.1167864135,0.9535287267,-0.8958443574,0.2436112408,0.05134986136,0,0.01374180186
2021-01-01,A06,Financials,89.29197723,89.85531133,87.42985937,87.98144556,1501347,87.95845094,88.00444018,5.22715183,0.0107877683,0.01059885473,-0.01834118822,-0.03236340646,0.006159112937,-0.004065665416,-0.02624061664,0.6696508528,-0.1430919837,0.002229546925,0.004107354713,0.006548541048,0.02027478012,-0.5877297933,-0.4112366469,0.6123202523,-0.5783590336,0.6938437288,0.05119720056,-1.217159305,2.187824606,1,0.02756776672
2021-01-01,A07,Financials,74.08183161,74.43199387,73.11120604,73.45678046,502926,73.41837091,73.49519,10.45772608,0.007216154518,0.0141107827,-0.01037944663,-0.02095216383,0.1005911776,0.02899528918,0.08387522127,-0.4882273605,-0.2787604076,0.002229546925,0.004107354713,0.006548541048,0.02027478012,-0.5877297933,-0.4112366469,0.6123202523,1.367577281,0.3893542476,0.1536814815,-0.05603499559,0.9751029694,0,0.01798047534
2021-01-01,A08,Financials,36.67539966,37.73642512,36.60976774,37.66889445,350855,37.63460805,37.70318085,18.20409227,0.02006190298,0.01733391105,0.03371846696,0.02080292227,0.1031334463,0.06451941633,0.09359190862,0.5392518325,0.4243985757,0.002229546925,0.004107354713,0.006548541048,0.02027478012,-0.5877297933,-0.4112366469,0.6123202523,0.1188171404,0.1785805186,0.1733597377,-0.07737887935,0.07801825516,0,0.02990948896
2021-01-01,A09,Industrials,75.03735677,75.55020842,74.81196104,75.3232722,3272608,75.31546502,75.33107938,2.072979691,0.005127346405,0.01019724383,0.006244151635,0.02166292823,0.09548080308,0.03800162328,0.125345709,0.6260960183,-0.1068819347,0.002229546925,0.006076952498,0.006548541048,0.004934015538,-0.5877297933,-0.4112366469,0.6123202523,-0.1758061485,0.9261595777,0.2992827335,0.3869661545,0.07439369881,0,0.009801052949
2021-01-01,A10,Industrials,76.3957249,76.96123858,76.26477904,76.8293234,1987554,76.80873013,76.84991667,5.360783456,0.005103874679,0.01017820452,0.005591568999,0.02661997762,0.1539746733,0.05782329994,0.1036094062,0.1092257403,0.3087793589,0.002229546925,0.006076952498,0.006548541048,0.004934015538,-0.5877297933,-0.4112366469,0.6123202523,0.3006484389,0.6919973216,-0.9072633205,-0.8879544077,0.08013656659,0,0.009065022524
